Question ID,Exam,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,Subject,Topic,Subtopic,Classification Status
Q001499,65th BPSC,"According to the census report of 2001, which state had the lowest literacy rate?",Arunachal Pradesh,Madhya Pradesh,Bihar,Haryana,(C) (C) Bihar,"According to the 2001 census, the literacy rate of Bihar was the lowest in the country with 54.1%, whereas according to the 2011 census, the literacy rate of Bihar is 61.8%.

CDPO (15.05-2022)",Bihar Polity & Governance,Bihar Economy,Literacy Rate,CLASSIFIED
Q001500,65th BPSC,Which of the following is the center of textiles?,Bokaro,Bhilwara,Sanand,Tarapur,(B) (B) Bhilwara,"Bhilwara has the largest number of cotton textile mills in Rajasthan. That is why it is also called Textile Cit of Rajasthan.

• Bokaro-Known for Bokaro Steel Plant located in Jharkhand.
• Sanand- It is in Gujarat and is known as the automobile centre.
• Tarapur – It is in Maharashtra. The Atomic Energy Center is located here.",Geography,Industries,Textiles,CLASSIFIED
Q001501,65th BPSC,Which of the following Union Territories has the lowest area under forests?,Chandigarh,Puducherry,Dadra and Nagar Haveli and Daman and Diu,Lakshadweep,(A) (A) Chandigarh,"According to the 16th India Forest Status Report 2019, Chandigarh has the least forest cover among the above. Here only 22.3 square km area is forest covered.

• Pondicherry – 52.3 sq. km area
• Dadar and Nagar Haveli and Daman Diu - 227.49 sq. km area
• Lakshyadweep – 27.10 sq km area",Geography,Soils,Black Soil,CLASSIFIED
Q001502,65th BPSC,Someshwar Range is a part of which of the following mountain ranges?,Satpura Range,Vindhyan Range,Eastern Ghats,Shiwalik Range,(D) (D) Shiwalik Range,Someshwar range is a part of Shivalik range. Its upper part forms the natural border between Bihar and Nepal. Its highest peak is 874 meters.,History of India,Mauryan Empire,Ashoka,CLASSIFIED
Q001503,65th BPSC,Which of the following mountain ranges divides Ganga plain and Deccan plateau?,Vindhyan Range,Himalayan Range,Aravali Range,Eastern Ghats,(A) (A) Vindhyan Range,The Vindhyachal mountain range divides the Gangetic plain and the Deccan plateau. This is a very old and rugged mountain range.,Geography,Mountain Ranges,Aravalli Range,CLASSIFIED
Q001504,65th BPSC,Which of the following rivers is not flowing eastward?,Gangavali,Narmada,Godavari,Krishna,(E) None of the above / More than one of the above,"• Narmada River originates from Amarkantak and flows westwards and falls into the Gulf of Cambay (Khambhat) (Arabian Sea).
• Gangavali River originates from the Western Ghats hills of Dharwad district of Karnataka and flows westwards and falls into the Arabian Sea.
• Godavari is the largest river of South India. It is 1465 kilometers long. It originates from Trimbakeshwar in Nashik district of Maharashtra and flows eastwards and falls into the Bay of Bengal.
• Krishna River is the second largest river of peninsular India. It originates near Mahabaleshwar in the Western Ghats and flows towards the east and falls into the Bay of Bengal.",Geography,Rivers,Yamuna,CLASSIFIED
Q001505,65th BPSC,Which of the following terms is also used for black soil?,Regur,Bangar,black cotton soil,Khadar,(E) None of the above / More than one of the above,"Black soil in India is formed by the weathering of basalt lava after cooling of the lava released from volcanic eruption. This soil is very suitable for cotton crop. Hence it is also called black cotton soil. Its local name is Regur. Its main expansion is in the states of Gujarat, Maharashtra, Karnataka etc.",Geography,Rivers,Godavari,CLASSIFIED
Q001506,65th BPSC,In 2020. which of the following crops had the highest acreage in India?,Pulses,Coarse cereals,Wheat,Rice (Paddy),(D) (D) Rice (paddy),The area under rice (paddy) was the highest in India in 2020. Its area expansion was 437 lakh hectares while wheat was in second place. Its area expansion was 314 lakh hectares.,Indian Economy,Agriculture,Rice,CLASSIFIED
Q001507,65th BPSC,Which of the following states has the largest deposits of copper ore?,Rajasthan,Jharkhand,Madhya Pradesh,Karnataka,(A) (A) Rajasthan,Rajasthan has the largest reserves of copper ore in India while it is the second state after Madhya Pradesh in terms of production.,Indian Economy,Agriculture,Wheat,CLASSIFIED
Q001508,65th BPSC,The parts of eastern Uttar Pradesh and Bihar are included in which of the following plains?,Upper Ganga Plain,Middle Ganga Plain,Lower Ganga plain,Brahmaputra plain,(B) (B) Middle Ganga plain,"Parts of eastern Uttar Pradesh and Bihar come under the Middle Ganga plain in terms of elevation. This plain has been formed from the sediments brought by the Ganga and its tributaries.

CDPO (15.07-2018)",Geography,Plains,Ganga Plain,CLASSIFIED
Q001509,65th BPSC,Dryland agriculture in India is practiced in areas having annual rainfall less than.,150 cm,125 cm,100 cm,75 cm,(D) (D) 75 cm,"Dry land farming is done in those areas of India where the average annual rainfall is less than 75 cm. In India, dry farming is practiced in about one-third of the cultivable land. India includes arid and semi-arid regions like North Rajasthan, Kathiawar region (Gujarat) and rain shadow regions of Peninsular India etc.",Geography,Rivers,Rainfall,CLASSIFIED
Q001510,65th BPSC,"Indira Gandhi Canal, irrigating Thar Desert originates from:",Bhakra Dam,Hathnikund Barrage,Harike Barrage,Ranjit Sagar Dam,(C) (C) Harike Barrage,"The origin of Indira Gandhi Canal is Harike Barrage built at the confluence of Sutlej and Beas rivers near Firozpur, Punjab. This canal is the longest canal of the country whose length is 649 km. Water is available to 10 desert districts of Rajasthan through this canal. Irrigation work started in the Thar Desert through thi canal from January 1987. Indira Gandhi Canal is also called the lifeline of Rajasthan and Maruganga.",Geography,Rivers,Chambal River,CLASSIFIED
Q001511,65th BPSC,Which of the following area in India does not grow tropical wet evergreen forests?,Eastern Ghats,Western Ghats,Andaman Islands,North-Eastern Region,(A) (A) Eastern Ghats,"In India, tropical wet evergreen forests are found in the Western Ghats, North Eastern region (region of Meghalaya and Assam) and Andaman Islands region The average annual rainfall here is more than 200 cm. Plants like bamboo, cane, rubber, rosewood, iron wood etc. are found in this type of forest.",Geography,Forests,Tropical Wet Evergreen Forests,CLASSIFIED
Q001512,65th BPSC,Indravati-Sabari Rivers in Dandakaranya are the tributaries of:,Mahanadi River,Godavari River,Krishna River,Damodar River,(B) (B) Godavari River,"Indravati and Sabari rivers are tributaries of Godavari river. Its other tributaries are – Penganga, Pranhita, Manjira etc. Dandakaranya is a physical region of eastcentral India, including parts of the states of Chhattisgarh, Odisha and Andhra Pradesh. Indravat and Sabari rivers flow in Dandakaranya area only. Chitrakoot Falls is situated on the Indravati River. It is also called the Niagara Falls of India. Sabari river forms the border between Chhattisgarh and Orissa.",Geography,Rivers,Indravati River,CLASSIFIED
Q001513,65th BPSC,Which of the following atmospheric features is associated with the performance of the Indian summer monsoon?,Tropical Easterly jet stream,Shift of ITCZ,Tibetan High,La Nina,(E) None of the above / More than one of the above,"Atmospheric features like tropical easterly jet stream, shifting of ITCZ (Inter Tropical Conversion Zone) etc. influence the Indian summer monsoon. Intertropical Convergence Zone (ITCZ) refers to a low pressure area or belt where winds from high air pressure areas come and converge. The pre-summer ITCZ belt is formed in the Indian Ocean. North-eastern trade winds blow towards this low pressure area. Due to passing through the Indian landmass, these winds get heated due to which the low pressure center in the Indian landmass becomes deeper. This north-eastern trade wind is also called eastern jet stream. After reaching the Indian Ocean, these winds cool down and develop high air pressure. In summer, when the ITCZ belt reaches near 25°N over the Indian landmass, a strong low pressure center develops here.

While there is a strong high pressure condition in the Indian Ocean region, from this high pressure region, moist winds move from the SW direction and reach the Indian mainland, which is called SW monsoon. Although the summer monsoon in India first arrives in the Andaman and Nicobar Islands.",Geography,Indian Monsoon,atmospheric features,CLASSIFIED
Q001514,65th BPSC,Non-scheduled people concentrated in the Central Valley of Manipur is called:,Meitei,Mishimi,Kuki,Apatanis,(A) (A) Meitei,"Meitei is a non-scheduled community of Manipur. Which mainly resides in Imphal Valley. According to the 2011 census, about 40% of the total population of Manipur belongs to the Meitei community. The Meitei community has been kept in the general category. There has been a demand from time to time by the Meitei community to include it in the Scheduled try Category.",History of Bihar,Manipur,Non-scheduled people,CLASSIFIED
Q001515,65th BPSC,The States/Union Territories of India having the highest percentage of SC and ST population in their total population as per 2011 Census are:,Uttar Pradesh and Mizoram,West Bengal and Nagaland,Punjab and Lakshadweep,Bihar and Meghalaya,(C) (C) Punjab and Lakshadweep,"According to the 2011 census, the state with the highest percentage of Scheduled Castes (SC) is Punjab, where the number of Scheduled Castes is 31.9% of its total population. Lakshyadweep is the state with the highest percentage of Scheduled Tribe population where its population is 94.8% of the total population.",Indian Economy,Development,SC and ST population percentage,CLASSIFIED
Q001516,65th BPSC,Jawahar Tunnel is located near?,Bara Lacha La,Banihal Pass,Chang La,Khardung La,(B) (B) Banihal Pass,"Jawahar Tunnel has been constructed under Banihal Pass. It is located in the Jammu and Kashmir union territory of India. It was opened for traffic on 22 December 1956. Its length is 2.85 km. Jawahar Tunnel connects Jammu and Kashmir through NH44.

CDPO (2005)",Geography,Rivers,Jawahar Tunnel,CLASSIFIED
Q001517,65th BPSC,Annamalai cardamom hill and Palani hill are found in -,Anaimudi,Kalsubai,Dodabetta,Pushpagiri,(A) (A) Anaimud,"Annamalai, Cardamom Hill and Palani Hill are found in the Anaimudi hilly complex. Mountains emerge from Anaimudi mountain in three directions. Annamalay rises towards the north, Cardamom hills towards the south and Palani hills towards the north east. The highest peak of Annamalai Hills is Anaimudi",Geography,Biodiversity,Annamalai cardamom hill and Palani hill,CLASSIFIED
Q001518,65th BPSC,Powerful El Nino in India causes –,Normal rainfall,Excessive rainfall,Drought,None of these,(C) (C) Drought,"El Nino is a warm water current that originates in the ocean floor at a distance of 80 km from the coast of Peru. It is believed that the Humboldt water current itself gets converted into a warm water current at an interval of 2 – 7 years which is called El Nino. Due to the effect of El Nino, the ocean water heats up to (4 – 5)°C, due to which marine animals, fish etc. near the coast of Peru and Chile die. Due to this, there is problem of heavy rainfall and floods in the coastal areas of South America. After 3-4 months of its origin this high air pressure weakens while moving towards the west. Due to weakening of monsoon, the problem of drought arises in India.",Geography,Climatology,Indian summer monsoon,CLASSIFIED
Q001519,65th BPSC,At the eastern end of the Great Himalaya i.e. Himadri is -,Garo Hills,Nanga Parbat,Khasi Hills,Namcha Barwa,(D) (D) Namchabarwa,"Namchabarwa Mountain is situated on the eastern part of the Greater Himalayas, which is located in Arunachal Pradesh. The westernmost peak of the Greater Himalaya is Nanga Parbat. Nanga Parbat is in Pakistan occupied Gilgit Baluchistan region. The 10 highest peaks of the world come in the Greater Himalayas, like Everest, Makalu, Masalu, Dhaulagiri, Kanchenjunga etc.",Geography,Natural Disasters,El Nino,CLASSIFIED
Q001520,65th BPSC,Sundarban region is located in –,Tropical humid semi-evergreen forest,Subtropical humid forest,Humid temperate forest,Dense mangrove forest,(D) (D) Dense Mangrove Forest,"Dense mangrove forests are found in the beautiful forest area. Mangrove forests are found in the largest area in India only in Sundarban. After this comes Gujarat and Andaman Nicobar Islands. According to the Forest Status Report 2019, the mangrove cover in India is 4975 square km which is 0.15% of the total geographical area of the country. In comparison to 2017, there has been an increase of 54 square kilometers in mangrove cover in 2019.",Geography,Geomorphology,Himadri,CLASSIFIED
Q001521,65th BPSC,Kaiga -,It is near Mangalore and there is a nuclear power plant here.,There is a new industrial center in Tamil Nadu,Is in Maharashtra and is known for information technology industry.,Is on the Konkan coast and is known for its beautiful scenery.,(A) (A) It is near Mangalore and there is a nuclear power plant here.,"Kaiga is located on the banks of the Kali River near Mangalore in the state of Karnataka. A nuclear power plant of India is established here. The plant is operational since 2000. A total of 8 nuclear power plants are operational in India – Tarapur (Maharashtra), Rawatbhata (Rajasthan), Kakarpara (Gujarat), Jaitpura (Maharashtra), Narora (Uttar Pradesh), Kalpakkam (Tamil Nadu), Kaiga (Karnataka), Kundankulam (Tamil Nadu).",Geography,Ecology,Sundarban region,CLASSIFIED
Q001522,65th BPSC,"Due to the Green Revolution, the production of which of the following crops increased the most?",Paddy,Wheat,Corn,Sugarcane,(B) (B) Wheat,"The most positive impact of the Green Revolution was on the wheat crop. Due to which there was maximum increase in its production. Whereas it had a negative impact on the production of coarse grains. Green Revolution in India started in 1966 AD. Its father is considered to be M.S. Swaminathan. Whereas at the international level, American agricultural scientist Norman Borlaug is considered its father.",Agriculture,Major Crops,cardamom,CLASSIFIED
Q001523,65th BPSC,Identify the correct order of the states placed in decreasing order of percentage of net sown land under irrigated land -,"Punjab, Uttar Pradesh, Andhra Pradesh, Haryana","Uttar Pradesh, Punjab, Haryana, Andhra Pradesh","Punjab, Haryana, Uttar Pradesh, Andhra Pradesh","Punjab, Haryana, Andhra Pradesh, Uttar Pradesh","(C) (C) Punjab, Haryana, Uttar Pradesh, Andhra Pradesh","At present, the states with highest irrigated percentage are – Punjab (99%), Haryana (90%), Uttar Pradesh (85%) According to the World Bank report, the total irrigated area of India is 35% of the total agricultural land",Indian Economy,Development,Green Revolution,CLASSIFIED
Q001524,65th BPSC,"Cement industry is developed in Chhattisgarh, due to avaibility of:",Limestone,Cheap labor,Cheap hydropower,Cheap transportation,(A) (A) Limestone,"The most important raw material for the cement industry is limestone. Due to the availability of limestone in Chhattisgarh, cement industry has developed here. The first cement factory in India was established in Madras in 1904 AD. India ranks second in the world in cement production, while China ranks first.

World Geography

70th RE-EXAM BPSC",Indian Economy,Agriculture,net sown land under irrigated land,CLASSIFIED
Q001525,65th BPSC,Which is the oldest mountain of South America continent ?,Pacaraima,Turmuc-Humuk,Andese Mountain,Brazil Mountain,(A) (A) Pacaraima,"Mount Pacarema is an ancient mountain on the South American continent. This mountain is geologically made up of ancient and hard rocks and is considered a part of the Guiana Shield. It is located on the borders of Venezuela, Brazil and Guyana. Mount Roraima is the highest part of this mountain.",Geography,Rivers,Amazon River,CLASSIFIED
Q001526,65th BPSC,Which longitude separates Canada and Alaska?,131° W,161° W,151° W,141° W,(D) (D) 141° W,"The 141º West longitude line determines the border between Alaska of the United States and the Yukon province of Canada. This border was determined under the treaty of 1825 which was signed between Britain and Russia.
• At that time Alaska was under the control of Russia. Later in 1867, America bought Alaska from Russia and this became the border that of America-Canada.",Geography,Earth,Longitude,CLASSIFIED
Q001527,65th BPSC,Which of the following is the playground of Europe?,Germany,Switzerland,Italy,France,(B) (B) Switzerland,"Due to the natural beauty of Switzerland, it is called the playground of Europe. The natural beauty, adventure sports, tourist places here attract tourists from all over the world.",History of India,Harshavardhana,Kingdom,CLASSIFIED
Q001528,65th BPSC,Which is the mountain range along the Mediterranean Coast of Asia Minor?,Kirther,Alburg,Taurus,Pontic,(C) (C) Taurus,"• Taurus Mountains are located in the southern part of Turkey and on the northern coast of the Mediterranean Sea. This mountain extends from west to east. The Kirthar mountain range is in Pakistan and it is spread on the border of Balochistan and Sindh.
• Elburz Mountains are located in Iran. Pontic Mountains are spread parallel to the coast of the Black Sea in the northern part of Turkey.",Geography,Mountains,Taurus Mountains,CLASSIFIED
Q001529,65th BPSC,Which is the Scotland of North-East India?,Arunachal Pradesh,Assam,Nagaland,Meghalaya,(D) (D) Meghalaya,"• Shillong, the capital of Meghalaya, is called the Scotland of North-East India
• It has received this title due to its natural beauty, climate, vegetation and cultural richness.",Geography,Rivers,Narmada River,CLASSIFIED
Q001530,65th BPSC,Where is no atmosphere on the surface of the moon because,It is closer to Earth,Escape velocity of gas molecules is less than RMS velocity,It revolves around Earth,It gets light from Sun,(B) (B) Escape velocity of gas molecules is less than RMS velocity,"The value of escape velocity on the moon is 2.4 km/s. This velocity is so low that the thermal velocity of gas molecules easily exceeds it. Ultimately, the gases leave the moon and go out of its gravitational field. This is the reason why there is no atmosphere on the moon.",Geography,North Bihar,Terrain,CLASSIFIED
Q001531,65th BPSC,Which of the following is not associated with Australia Continent?,Eyre Lake,Nallarbar Plain,Salwin Mountain,Salvin Valley,(D) (D) Salvin Valley,"Places related to the Australian continent

• Lake Eyre: It is the largest salt lake located in South Australia.
• Nullawarra Plain: It is a vast limestone plain spread in the western part of Australia. It is the largest uniform limestone area in the world.
• Mount Selwyn: Mount Salwyn is a part of the Victorian Alps of the Great Dividing Range. It is located in the Victoria province of Australia.
• Salween (Salween Valley): Located in Southeast Asia, the Salween River flows through Myanmar, Thailand and China, and this valley is related to it.",Geography,Moon,Atmosphere,CLASSIFIED
Q001532,65th BPSC,Choose the odd pair among the following options.,Gobi : Mongolia,Kalahari : America,Thar : India,Sahara : Africa,(B) (B) Kalahari : America,"Correct Pairs:

Gobi— Mongolia (in Mongolia and China)

• Kalahari— Africa (in Botswana, Namibia and South Africa)
• Thar— India (India and Pakistan)
• Sahara - Africa (the world's largest hot desert)",Geography,Australia,Great Barrier Reef,CLASSIFIED
Q001533,65th BPSC,Dalmatian Coast is,Intermontane,Foot-hills,Foot-hills of Karst,River depositional,(C) (C) Foot-hills of Karst,"Dalmatian Coast—a natural coastal landform located along the Adriatic Sea in Croatia.

• Its main feature is that it is formed by parallel mountain ranges on the coast and lowlands between them.
• When the sea level rose, the lowlands got submerged and the mountain ranges appeared as islands.
• It is called the ‘Dalmatian Coastline’ because it is a karst-derived mountainous coastal structure between the mountains and the sea.

70th BPSC",General Mental Ability & CSAT,Odd One Out,Shapes,CLASSIFIED
Q001534,65th BPSC,Which of the following is a technopolis ?,Silicon valley,London,Paris,Moscow,(A) (A) Silicon valley,"Technopolis – Modern Tech City Example – Silicon Valley – USA India – Hyderabad, Bengaluru",Geography,Coastline,Dalmatian Coast,CLASSIFIED
Q001535,65th BPSC,Which type of rock is formed from cooling and solidification of lava ?,Igneous,Sedimentary,Crystal,Metamorphic,(A) (A) Igneous,"• Igneous rocks are formed when the lava (magma) emitted from a volcano cools and solidifies. Types of igneous rocks: intrusive and extrusive. Intrusive igneous rocks develop from the cooling of magma in the inner layers of the Earth.
• When the molten magma comes out from the inner part of the Earth (eg. volcanic eruptions) and cools and solidifies, it is called extrusive igneous rock.",Geography,Cities,Silicon Valley,CLASSIFIED
Q001536,65th BPSC,"Which of the following human races inhabitates in China, Mangolia and Japan ?",Australoid,Negro,Mongoloid,Nordic,(C) (C) Mongoloid,"• People of Mongoloid race are found in China, Mongolia and Japan.
• Australoid race is native to Melanesia and Australia. Negro race is native to the African continent.
• Tardic or Cordic race is native to north-western and northern Europe, Iceland, Netherlands, Belgium, Germany, Poland and western Russia etc.
• Mongoloid in India – North-eastern states (Manipur, Mizoram, Nagaland and Arunachal Pradesh)
• Mongoloid – Residents of East Asia (China, Japan, Korea), South-East Asia (Vietnam, Thailand, Myanmar), Siberia and Himalayan region
• Australoid – Tribals of Australia and India (Bhit, Munda, Santhal, Gaur, Khasi, Jakha etc.",General Science,Chemistry,Igneous Rock,CLASSIFIED
Q001537,65th BPSC,Which of the following is an iron ore?,Cinnabar,Bauxite,Limonite,Pyrite,(C) (C) Limonite,"The chemical formula is - FeO (OH).nH₂O. Magnetite, hematite, siderite etc. are other major ores of iron.

Cinnabar is the ore of mercury, while bauxite is the ore of aluminium. Pyrite or iron pyrite (chemical formula FeS2) is also iron, but the commercial use of this sulphide mineral is mainly in the manufacture of sulphur dioxide and sulphuric acid.

Iron ore is a mineral from which iron metal is extracted.",Geography,Soils,Iron ore,CLASSIFIED
Q001538,65th BPSC,Magnetite the highest (High quality art and magnetic 2. Hematite Dark colour- deep red colour- most in India 3. Limonite (Yellow Lura) 4. Siderite  (Green-brown-less useful) 14. Which of the following has highly elongated elliptical orbit?,Asteroid,Comet,Meteorite,Meteor,(B) (B) Comet,"Comet

• Structure—Nucleus— Solid part made of ice, dust and rocks.
• Coma— The heat of the sun turns the ice of the nucleus into gas and forms a hazy glowing atmosphere.
• Tail— Goes away from the sun.
• Dust tail— Reflects yellow light.
• Ionic tail— Blue in colour.

Speed and orbit

• Comets revolve around the Sun in a very long, elliptical orbit.
• Their speed is faster when they come closer to the Sun and slower when they move away from it.

Place of Origin

• Kuiper Belt—near Pluto
• At the outer boundary of the solar system.

Famous comets

• Halley's Comet- Appears once in 76 years.",Geography,Geomorphology,Hematite,CLASSIFIED
Q001539,65th BPSC,Which of the following cities is located along the side of river Seine?,Paris,Belgrade,Lisbon,Budapest,(A) (A) Paris,"• Paris is situated on the banks of the Seine River.
• Belgrade is situated on the banks of the Danube and Sava rivers,

• Lisbon is situated at the mouth of the Tagus River and Budapest is situated on the banks of the Danube River.
• Boat cruises on the Seine River are very popular among tourists.",Geography,Rivers,Seine,CLASSIFIED
Q001540,65th BPSC,The Andes extends along which of the following?,West Coast of India,West Coast of North America,East Coast of Australia,West Coast of South America,(D) (D) West Coast of South America,"• Andes is the longest mountain range in the world. This range is located along the western coast o South America.
• This mountain range extends from Venezuela to Chile and Argentina.",Geography,Locations and Boundaries,Andes,CLASSIFIED
Q001541,65th BPSC,Which of the following is a major cause of air pollution?,Disposal of plastics (B) Burning of fossil fuels,,Deforestation,Excessive use of pesticides,(B) (B) Burning of fossil fuels,"Gaseous air pollutants: Combustion of fossil fuels (mineral oil, coal, petrol, diesel, etc.) mainly releases gases like carbon dioxide (CO₂), carbon monoxide (CO), etc.",Geography,Environmental Issues,Air pollution,CLASSIFIED
Q001542,65th BPSC,Which of the following minerals occurs in the Minas Gerais province of Brazil ?,Bauxite,Iron ore,Mica,Coal,(B) (B) Iron ore,"• Many types of minerals are found in Minas Gerais province of Brazil. But it is mainly famous for iron ore.
• It is the largest iron ore producing region of Brazil.
• High quality iron ores like Carajas and Itabirite are found here.

69th BPSC",Geography,Minerals,Gold (Minas Gerais),CLASSIFIED
Q001543,65th BPSC,"Assertion (A) : Rich placer deposits of gold are found on the Ghana coast and gold-bearing veins are found in Brazil. Reason (R) : At some points of time, these continents were joined together along the Atlantic coast Select the correct answer.",Both A and R are correct but R is not the correct explanation of A.,A is wrong but R is right.,A is correct but R is wrong.,Both A and R are correct and R is the correct explanation of A.,(D) (D) Both A and R are correct and R is the correct explanation of A,"Rich placer deposits of gold are found off the coast of Ghana, while gold veins are found in Brazil where the continents were once joined together along the Atlantic coast.
• Hence both Assertion (A) and Reason (R) are correct.",History of India,Mauryan Empire,Iron ore deposits,CLASSIFIED
Q001544,65th BPSC,What is the local time of Thimphu (Bhutan) located at 90° East longitude when the time at Greenwhich (0°) is 12 : 00 noon,4:00 p.m.,7:00 p.m.,6:00 a.m,6:00 p.m.,(D) (D) 6:00 pm,"The distance between Greenwich and Thimpu at 90 degrees east longitude

= 90° Total longitude time difference
= 90 × 4 = 360 minutes
= 360/60 = 6 Hour

The local time of Thimpu will be 6 hours ahead o Greenwich.

Hence local time of Thimpu = 12:00 + 6:00 = 6 : 00 pm",Geography,Time Zones,"Thimphu, Bhutan",CLASSIFIED
Q001545,65th BPSC,How many latitude are there on the globe drawn at 1 degree interval?,179,178,180,none of above,(A) (A) 179,"• The latitude lines drawn on the globe at an interval of 1 degree are 180, but zero latitude is equal to 0° on the equator. Hence, the latitude lines drawn on the globe at an interval of 1 degree are 179.",General Mental Ability & CSAT,Coding-Decoding,Latitude,CLASSIFIED
Q001546,65th BPSC,Where does the El Nilo current flow?,Bay of Bengal,Indian Ocean,Pacific Ocean,More than one of the above,(C) (C) Pacific Ocean,"• El Nino is a warm water current pattern characterized by abnormal warming of surface waters in the eastern tropical Pacific Ocean, seen as a 'warm state' of the Southern Oscillation (ENSO) phenomenon. This phenomenon occurs more frequently than La Nina.

• The change in atmospheric pressure in the tropica Pacific Ocean is called Southern Oscillation
• The El Nino/La Nina phenomenon is not a regular cycle. These occur irregularly at intervals of 2 to 7 years.",Geography,Rivers,El Nilo current,CLASSIFIED
Q001547,65th BPSC,"Consider the following statements: 1. Lake Victoria is the third largest freshwater lake in the world by surface area. 2. It is one of the great lakes of Africa 3. It is bordered by four countries – Tanzania, Uganda, Rwanda and Kenya. 4. The only outflow from Lake Victoria is the Nile River, which exits the lake near Jinja, Uganda. Which of the statements given above are incorrect?",2 and 4,3 and 4,1 and 3,1 and 2,(C) (C) 1 and 3,"• Lake Victoria is the second largest freshwater lake in the world (the first being Superior). Hence statement (1) is wrong.
• It is bordered by Uganda, Kenya and Tanzania Hence, statement (3) is wrong, hence option (C) wil be the correct answer as per the question.
• Statements (2) and (4) are true",Geography,Lakes,Lake Victoria,CLASSIFIED
Q001548,65th BPSC,Consider the following statements regarding ‘heat wave’ : 1. Heat wave is considered if the maximum temperature of a station reaches at least 30 °C or more for plains. 2. Heat wave is considered if the maximum temperature of a station reaches at least 40 °C or more for hilly regions. Which of the statements given above is/are correct?,Only 1,Only 2,Neither 1 nor 2,Both 1 and 2,(C) (C) Neither 1 nor 2,"• The criteria of the Indian Meteorological Department for declaring a heat wave in India are as follows-

→ If the maximum temperature of a place reaches at least 40 degrees Celsius or more in the plains and at least 30 degrees Celsius or more in the hilly areas, then this situation is considered as a heatwave.

→ Apart from this, an increase of 7 degrees Celsius or more from normal temperature is considered a severe heat wave situation

• Hence, it is clear from the above explanation that neither statement 1 nor statement 2 is correct.",Geography,Environmental Issues,Heat wave,CLASSIFIED
Q001549,65th BPSC,The emirates of U.A.E. are,"Dubai, Sharjah, Ajman, Jeddah, Kuwait, Bahrain, Umm al-Quwain","Umm al-Quwain, Fujairah, Ras al-Khaimah, Riyadh, Dammam, Taif, Dubai.","Sharjah, Abu Dhabi, Ajman, Fujairah, Dubai, Bahrain, Kuwait.","Abu Dhabi, Dubai, Sharjah, Ajman, Umm al-Quwain, Fujairah, Ras al-Khaimah","(D) (D) Abu Dhabi, Dubai, Sharjah, Ajman, Umm al-Quwain, Fujairah, Ras al-Khaimah.","• UAE is a country in Middle East Asia whose capita is Abu Dhabi. Its maritime border is with the Persian Gulf and the Gulf of Oman.
• These two gulfs are connected to each other by the Strait of Hormuz.
• Its major princely states are Abu Dhabi, Dubai, Sharjah, Ajman, Umm Al-Quwain, Fujairah and Ras Al Khaimah",Geography,Minerals,Chromite,CLASSIFIED
Q001550,65th BPSC,"In the universe, what are pulsars?",Rotating neutron stars,Explosion of a star,Radio waves emitted by a star,A group of stars,(A) (A) Rotating neutron stars,"Pulsars in the universe are not actually stars; Rather, they are rotating neutron stars, that is, they are members of the neutron star family. When their basic energy is exhausted, they disintegrate on their own, that is, the death of these types of stars usually occurs due to a massive explosion, which is known as a supernova.
• They are typically 12.4 to 14.9 miles (20 to 24 kilometers) in diameter, but their mass can be up to twice that of the Sun, which has a diameter of 864,938 miles (1.392 million km).",General Science,Physics,Pulsars,CLASSIFIED
Q001551,65th BPSC,The process that continually adds new crust is,Earthquake,Seafloor Spreading,Convection,Subduction,(B) (B) Seafloor Spreading,"According to the theory of sea floor spreading, the Earth's crust is in a state of constant growth and development, which happens when the Earth's plates move away from each other.
In this way, the space left between the plates get filled with new material, which gradually separate them, that is, this process of continuously adding new layers is called spreading of the seafloor.
• The circumstances affecting this theory are the magnetic stripes of the seabed, the spreading of the seabed and the theory of plate tectonics.",General Science,Chemistry,Plate Tectonics,CLASSIFIED
Q001552,65th BPSC,"The theory that states ‘‘pieces of the Earth’s crust are in constant, slow motion driven by movement in the mantle’’ is called",The theory of Pangaea,The theory of Plate tectonics,The theory of Plate Boundaries,The theory of Continental drift,(B) (B) The theory of Plate tectonics,"• Pieces of the earth's crust continue to move slowly through the mantle. This theory is called the ""Plate Tectonics Theory"".
It was propounded by H. Hess in the year 1960. In these he has told that the Earth's lithosphere is made up of large, rigid plates, which are moving on the lower surface of the Earth. He also explains how continents can move over time. Later morgan, parker and meckenzie elaborated contenetal drift theory in 1967.
The main concepts of this theory are based on continental drift, seafloor spreading and plate tectonics. It is also stated that the ocean surface is formed on the mid-ocean ridge and is destroyed in the convergence zones of the plates. This was propounded by H. Hayes in the year 1960. In these he has told that the Earth's lithosphere is made up of large, rigid plates, which are moving on the lower surface of the Earth. He also explains how continents can move over time.",Geography,Geomorphology,Continental Drift,CLASSIFIED
