Question ID,Subject,Topic,Subtopic
Q001712,Society,Social Issues,Hindu Growth Rate
Q001713,Indian Economy,Development,Antyodaya Programme - Initial State
Q001714,Indian Economy,Agriculture,Meat and Meat Preparation Exports - 2017
Q001715,Indian Economy,Bihar Economy,Foreign Exchange Reserves - 2018-19
Q001716,Indian Polity,Constitution,Minimum Support Price - Determination
Q001717,General Mental Ability & CSAT,General Mental Ability & CSAT,Coding-Decoding
Q001718,Indian Polity,Constitution,EPCG
Q001719,Indian Economy,Development,Pradhan Mantri Shram Yogi Maan-Dhan Scheme
Q001720,Indian Economy,Development,Community Development Programme
Q001721,Current Affairs,Development,Pradhan Mantri Karma Yogi Maan-Dhan Yojana
Q001722,Indian Economy,Development,Sustainable GDP Growth Rate
Q001723,Indian Economy,Development,Small Enterprises
Q001724,Geography,Population,Rural Families Access to Toilets
Q001725,Indian Economy,Development,Renewable Energy Contribution
Q001726,Indian Economy,Development,GDP Growth Rate Decrease
Q001727,Indian Economy,Development,Fixed Investment Growth Rate
Q001728,Indian Economy,Banking,Gems and Jewelery Export Promotion Council
Q001729,Indian Economy,Banking,Public Sector Banks Liquidity
Q001730,Indian Economy,Population,Urban Population Percentage
Q001731,Indian Polity,Union Government,NITI Aayog Full Form
Q001732,Indian Economy,Development,Twelfth Five-Year Plan Agriculture Growth Rate
Q001733,Indian Economy,Make in India,Industrial Development
Q001734,Indian Economy,Industrial Development,Not an Initiative
Q001735,Indian Economy,PURA,Providing Urban Facilities in Rural Areas
Q001736,Indian Economy,Literacy Rate,Female Literacy Rate 2011
Q001737,Indian Economy,Poverty Alleviation,Self-Service Groups
Q001738,Indian Economy,Agricultural Productivity,Increase Productivity
Q001739,Indian Economy,MNREGA,Poverty Alleviation
Q001740,Indian Economy,Union Budget,2017-18 Objectives
Q001741,Indian Economy,Development,National Food Security Mission
Q001742,Geography,Population,Density
Q001743,Bihar Polity & Governance,Bihar Legislature,Sex Ratio
Q001744,Bihar Economy,Bihar Budget,First Publication
Q001745,Current Affairs,Science & Technology,Foreign Direct Investment
Q001746,Bihar Economy,Agriculture,Employment Percentage
Q001747,Bihar Economy,Economic Growth,Growth Rate 2016-17
Q001748,Indian Economy,Basic Economics,National Income Calculation
Q001749,Indian Economy,Banking,Apex Bank for Agricultural Refinance
Q001750,Indian Economy,Fiscal Policy,14th Finance Commission Share
Q001751,Indian Economy,Economic Sectors,FDI Equity Flow
Q001752,Geography,Rivers,River Size
Q001753,Indian Economy,Banking,RBI
Q001754,Indian Polity,Union Government,Prevention of Money Laundering Act
Q001755,Current Affairs,Science & Technology,TRIMS
Q001756,Indian Economy,Development,NITI Aayog
Q001757,Indian Economy,External Sector,WPI Base Year
Q001758,Indian Economy,Development,Amartya Sen
Q001759,Indian Economy,Banking,Gullak Bachha Bank
Q001760,Indian Economy,Economic Sectors,Balance of Payment
Q001761,Indian Economy,Fiscal Policy,Service Tax
Q001762,Indian Economy,Development,National Income
Q001763,Indian Economy,Development,Five Year Plan
Q001764,Indian Economy,Taxation,State Finance
Q001765,Indian Economy,Fiscal Policy,Bank rate
Q001766,Indian Economy,Banking,Bond
Q001767,Indian Economy,Development,Ease of Doing Business Index
Q001768,Indian Economy,Financial System,Cash-reserve ratio
Q001769,Indian Economy,Development,Mahalanobis Plan model
Q001770,Indian Economy,Fiscal Policy,Effective revenue deficit
Q001771,Indian Economy,Financial System,Interest payment
Q001772,Indian Economy,Statistics,Consumer Price Indices
Q001773,Indian Economy,Trade,Foreign exchange earnings
Q001774,Indian Economy,Trade,Exports
Q001775,Indian Economy,Financial System,Foreign currency
Q001776,Indian Economy,Financial System,Foreign currency
Q001777,Indian Economy,Fiscal Policy,Ad-hoc treasury bill system of meeting the budget deficit in India was abolished on
Q001778,Indian Polity,Union Government,R. N. Malhotra Committee is associated with
Q001779,Indian Economy,Banking,Service tax in India was introduced in the Year?
Q001780,Indian Economy,External Sector,Convertibility of rupee employees
Q001781,Indian Economy,Basic Economics,Consider the following important sources of tax revenue for the Central Government
Q001782,Indian Economy,Financial System,"Which one of the following is the prescribed investment limit for medium enterprises in the manufacturing sector as per the Micro, Small and Medium Enterprises Development Act, 2006?"
Q001783,Indian Economy,External Sector,In which of the following years the trade balance was favorable for India?
Q001784,Indian Economy,Development,During which year was the annual average growth rate (at constant prices) of agriculture and allied become negative?
Q001785,Indian Economy,Development,"Consider the following statements: I. ‘Varsha Bima’, the Rainfall Insurance Scheme, is managed by Agricultural Insurance Company of India Limited (AICIL). II. The scheme was introduced during the 2007 south-west monsoon period."
Q001786,Indian Polity,Indian Economy,Consider the following statements- I. Bank rate is the interest rate that the Reserve Bank of India charges its clients on their shortterm borrowings. II. Repo rate is the interest rate that the Reserve Bank of India charges its clients on their longterm borrowings.
Q001787,Indian Economy,Banking,Financial sector reforms in India include consist of :
Q001788,Indian Economy,Financial System,Which of the following is not a component of 'Bharat Nirman'?
Q001789,Indian Economy,Fiscal Policy,Cash Reserve Ratio
Q001790,Indian Economy,Development Schemes,TRYSEM
Q001791,Indian Economy,Commercial Sources of Energy,Oil/Energy Crisis
Q001792,Indian Economy,Financial Sickness of State Electricity Boards,Low Grade Coal & Transmission Losses
Q001793,Indian Economy,State Electricity Boards,Social Delivery Policies
Q001794,Indian Economy,Types of Economy,Mixed Economy
Q001795,Indian Economy,Coal Industry,Dependence on Coking Coal Import
Q001796,Indian Economy,Planning Commission,Running Plan
Q001797,Indian Economy,Planning Commission,Establishment Year
Q001798,Indian Economy,World Bank Report,Indian Economy Status
Q001799,Indian Economy,Reserve Bank of India,Cash Reserve Ratio Impact
Q001800,Indian Economy,Indian Development Forum,Formerly Known As
Q001801,Indian Economy,Development,Eleventh Five Year Plan
Q001802,Bihar Economy,Bihar Budget,Revised Value Added Tax
Q001803,Indian Economy,Fiscal Policy,Eleventh Five Year Plan
Q001804,Art & Culture,Indian Culture,Signature on one rupee note
Q001805,History of India,British Expansion,Plan holiday in India
Q001806,Indian Economy,Fiscal Policy,Rolling Plan
Q001807,Indian Economy,Basic Economics,Fiscal Deficit
Q001808,Indian Economy,Banking,Life Insurance Corporation of India
Q001809,Indian Economy,Agriculture,Gross Domestic Product
Q001810,Indian Economy,Basic Economics,Growth of literacy in India
Q001811,Indian Economy,Economic Sectors,Commercial energy supplied by coal
Q001812,Indian Economy,Economic Sectors,Road transport
Q001813,Indian Economy,Development,National Bank for Agriculture and Rural Development (NABARD)
Q001814,Indian Economy,Agriculture,Second Green Revolution in India
Q001815,Indian Economy,Energy,Energy Production and Consumption in India
Q001816,History of India,Population,Population Characteristics of India (1991-2001)
Q001817,Indian Economy,Trade,India's Latest Export-Import Trade
Q001818,Indian Economy,Economic Sectors,Share of Tertiary Sector in National Income
Q001819,Indian Economy,Fiscal Policy,Direct Taxes
Q001820,Indian Economy,Fiscal Policy,Fiscal Policy Tools
Q001821,Indian Economy,Fiscal Policy,Fiscal Policy Tools
Q001822,Indian Economy,Five Year Plans,NABARD Establishment
Q001823,Indian Economy,Five Year Plans,Second Five Year Plan Outline Preparation
Q001824,Indian Economy,Economic Planning,Concept
Q001825,Indian Economy,Basic Economics,National Income
Q001826,Indian Economy,Banking,National Income Estimation
Q001827,Indian Economy,Development,Planning Commission
Q001828,Indian Economy,Fiscal Policy,ILAF Committee
Q001829,Indian Economy,External Sector,Special Economic Zones
Q001830,Indian Economy,Development,World Trade Organization
Q001831,Indian Economy,Banking,NAFED
Q001832,Indian Economy,Economic Sectors,Income Inequality
Q001833,Indian Economy,Development,Oil Crisis
Q001834,Indian Economy,Economic Sectors,Exchange Rate Systems
Q001835,Indian Economy,External Sector,Investment
Q001836,Indian Economy,Banking,Government Securities
Q001837,Indian Economy,Banking,Reserve Bank of India Monetary Policy Reviews
Q001838,Indian Economy,Banking,Inflation Indices - RBI
Q001839,Indian Economy,Fiscal Policy,Bank Lending Rate Calculation
Q001840,Indian Economy,Macroeconomic Variables,Money Supply Impact
Q001841,Indian Economy,Tourism,Contribution to Economic Activity
Q001842,Indian Economy,Union Budget,Grants-in-Aid Allocation
Q001843,Indian Economy,Money Supply,National Savings Certificates Account
Q001844,Indian Economy,Fiscal Policy,Fiscal Deficit Definition
Q001845,Indian Economy,Goods and Services Tax (GST),Revenue Neutral Tax Rate
Q001846,Indian Economy,Agriculture,Agricultural Crop Year
Q001847,Indian Economy,Currency,Currency Notes Issuance
Q001848,Indian Economy,National Income,National Income Calculation
Q001849,Indian Economy,Development,Planning Commission of India
Q001850,History of India,Population,Year of great divide
Q001851,Indian Economy,Basic Economics,Objectives of Indian planning
Q001852,Indian Economy,Fiscal Policy,Fiscal deficit
Q001853,Indian Economy,Banking,Statutory Liquidity Ratio (SLR) – Narasimha Committee
Q001854,Indian Economy,External Sector,Current account balance of payments
Q001855,Indian Economy,Development,Fiscal deficit – reduction
Q001856,Indian Economy,External Sector,Positive record in current account balance of payments (2002-03) – possible explanations
Q001857,General Science,Physics,Deflection of X-rays
Q001858,General Science,Physics,Reactance of a capacitor
Q001859,General Science,Physics,Diameter of objective lens and resolution of telescope
Q001860,General Science,Physics,Unit of measure of magnetic field
Q001861,General Science,Physics,Shadow Production
Q001862,General Science,Physics,Potential Energy
Q001863,General Science,Energy,Renewable Energy Sources
Q001864,General Science,Atomic Theory,Dalton's Atomic Theory
Q001865,General Science,Measurement,Meter for Distance
Q001866,General Science,Heat Transfer,Radiation
Q001867,General Science,Radiation,Gamma Radiation
Q001868,General Science,Forces,Non-Contact Force
Q001869,General Science,Electrical Resistance,Resistance of Wire
Q001870,General Science,Solar Energy,Solar Constant
Q001871,General Science,Physics,Tesla
Q001872,General Science,Optics,Concave Mirror Image Position
Q001873,General Science,Physics,Photoelectric Cell
Q001874,General Science,Physics,Electrical Conductivity
Q001875,General Science,Physics,Free Fall
Q001876,General Science,Physics,Alternating Current
Q001877,General Science,Physics,Current Density
Q001878,General Science,Physics,Convex Lens
Q001879,General Science,Physics,Sound Intensity
Q001880,General Science,Physics,Photoelectric Devices
Q001881,General Science,Physics,Digital Applications
Q001882,General Science,Physics,Friction
Q001883,General Science,Physics,Centripetal Force
Q001884,General Science,Physics,Radioactive Emission
Q001885,General Science,Physics,Frictional Force
Q001886,General Mental Ability & CSAT,Blood Relations,A bus takes a sharp turn to the right side suddenly
Q001887,General Mental Ability & CSAT,Mathematical & Symbol Operations,A sitarist tries to adjust the tension and pluck the string suitably
Q001888,Indian Economy,Banking,A form of matter has no fixed shape but it has a fixed volume
Q001889,General Mental Ability & CSAT,Age Problems,The speed of light will be minimum while passing through
Q001890,General Mental Ability & CSAT,Mathematical & Symbol Operations,The working principle of a washing machine is
Q001891,Geography,Rivers,The speed of light will be minimum while passing through
Q001892,General Mental Ability & CSAT,Odd One Out,Which of the following is not a ‘vector quantity’
Q001893,History of India,Harshavardhana,Who is the first person to define speed
Q001894,History of India,Albert Einstein,The ‘theory of relativity’ is presented by which scientist
Q001895,General Science,Physics,"Due to temperaturs variation along a conductor, potential variation occurs along it"
Q001896,General Mental Ability & CSAT,Coding-Decoding,What type of lens is used in magnifying glass
Q001897,Geography,Soils,Soil
Q001898,Indian Economy,Banking,Addition of salt into pure water
Q001899,General Mental Ability & CSAT,Coding-Decoding,Mirror
Q001900,General Mental Ability & CSAT,Blood Relations,Comfort
Q001901,General Science,Physics,Twinkling of stars
Q001902,General Science,Chemistry,Hydrogen bomb
Q001903,General Science,Physics,Pressure cooker
Q001904,General Science,Physics,Refrigerator
Q001905,Geography,Rivers,Ice melting
Q001906,General Mental Ability & CSAT,Logical Reasoning,Incorrectly matched
Q001907,General Mental Ability & CSAT,Physics,Free fall
Q001908,General Science,Physics,Soap film
Q001909,General Mental Ability & CSAT,Mathematical & Symbol Operations,Arithmetic
Q001910,General Mental Ability & CSAT,Mathematical & Symbol Operations,Resistance
Q001911,General Mental Ability & CSAT,Mathematical & Symbol Operations,Faraday constant
Q001912,General Mental Ability & CSAT,Mathematical & Symbol Operations,Velocity of electromagnetic waves
Q001913,General Mental Ability & CSAT,Mathematical & Symbol Operations,Light-year
Q001914,General Mental Ability & CSAT,Mathematical & Symbol Operations,Velocity of electromagnetic waves
Q001915,General Mental Ability & CSAT,Mathematical & Symbol Operations,Neil Armstrong
Q001916,General Mental Ability & CSAT,Mathematical & Symbol Operations,Viscosity
Q001917,General Mental Ability & CSAT,Mathematical & Symbol Operations,Poor conductor of heat
Q001918,General Mental Ability & CSAT,Mathematical & Symbol Operations,Fundamental physical quantity
Q001919,General Mental Ability & CSAT,Mathematical & Symbol Operations,Longitudinal wave
Q001920,General Mental Ability & CSAT,Mathematical & Symbol Operations,Dispersion of light
Q001921,General Mental Ability & CSAT,Coding-Decoding,Temperature
Q001922,General Mental Ability & CSAT,Number & Letter Series,The power of a lens is measured in
Q001923,General Science,Physics,"To diagnose the medical conditions, MRI technique is used."
Q001924,General Science,Physics,"When a sound wave goes from one medium to another, the quantity that remains unchanged is:"
Q001925,General Science,Physics,Light-year is a unit of:
Q001926,General Science,Physics,Particles
Q001927,Indian Polity,Constitution,Ohm meter
Q001928,Indian Economy,Banking,Ohm meter
Q001929,Geography,Climatology,Pressure
Q001930,General Mental Ability & CSAT,Number & Letter Series,Scalar quantity
Q001931,General Mental Ability & CSAT,Number & Letter Series,Quantity without unit
Q001932,General Science,Physics,Sound waves
Q001933,General Mental Ability & CSAT,Mathematical & Symbol Operations,Arithmetic
Q001934,General Mental Ability & CSAT,Mathematical & Symbol Operations,Hertz
Q001935,General Mental Ability & CSAT,Mathematical & Symbol Operations,Amperes
Q001936,General Mental Ability & CSAT,Mathematical & Symbol Operations,Watts
Q001937,General Mental Ability & CSAT,Mathematical & Symbol Operations,Amperes
Q001938,General Mental Ability & CSAT,Mathematical & Symbol Operations,Volts
Q001939,General Mental Ability & CSAT,Blood Relations,Father-Son Relationship
Q001940,General Mental Ability & CSAT,Mathematical & Symbol Operations,Gravitational Force
Q001941,General Mental Ability & CSAT,Mathematical & Symbol Operations,Electrical Resistance
Q001942,General Mental Ability & CSAT,Mathematical & Symbol Operations,Reflection of Light
Q001943,General Mental Ability & CSAT,Mathematical & Symbol Operations,Wavelength
Q001944,General Mental Ability & CSAT,Mathematical & Symbol Operations,Measurement of Distance
Q001945,General Mental Ability & CSAT,Coding-Decoding,Frequency
Q001946,General Mental Ability & CSAT,Classification & Odd One Out,Choose the correct statement.
Q001947,General Science,Physics,The value of 40 degree Celsius in Fahrenheit scale is :
Q001948,General Science,Physics,The unit of electric power is:
Q001949,General Science,Physics,In electric motor -
Q001950,General Science,Physics,Electric Current
Q001951,General Science,Chemistry,Greenhouse Gases
Q001952,Current Affairs,Science & Technology,Greenhouse Gases
Q001953,General Science,Physics,Einstein
Q001954,General Science,Physics,Pressure
Q001955,General Science,Physics,Wavelength
Q001956,General Science,Chemistry,Polymers
Q001957,General Science,Chemistry,Bakelite
Q001958,General Science,Chemistry,Vanaspati Ghee
Q001959,General Science,Chemistry,LPG
Q001960,General Science,Chemistry,Soap
Q001961,General Science,Chemistry,Iodized Salt
Q001962,General Science,Physics,Solar Radiation
Q001963,General Science,Physics,God Particle
Q001964,General Science,Physics,Radar
Q001965,General Science,Biology,Blood Pressure
Q001966,General Science,Physics,Electricity
Q001967,General Science,Physics,Magnetic Needle
Q001968,General Science,Physics,White Light
Q001969,Environment & Ecology,Climate Change,The room can be cooled by...
Q001970,General Mental Ability & CSAT,Blood Relations,Human skin gets burnt by swimming in a swimming pool
Q001971,General Mental Ability & CSAT,Mathematical & Symbol Operations,Time period of the pendulum-
Q001972,General Mental Ability & CSAT,Mathematical & Symbol Operations,Human skin gets burnt by swimming in a swimming pool
Q001973,General Mental Ability & CSAT,Mathematical & Symbol Operations,"When electrical energy is converted into motion, then –"
Q001974,General Mental Ability & CSAT,Mathematical & Symbol Operations,The modern atomic symbols are based on the method proposed by:
Q001975,General Mental Ability & CSAT,Mathematical & Symbol Operations,Substances that readily absorb moisture from other substances without chemically reacting with them are called :
Q001976,General Mental Ability & CSAT,Mathematical & Symbol Operations,1 zepto is equal to -
Q001977,General Mental Ability & CSAT,Mathematical & Symbol Operations,The time period of a pendulum clock is :
Q001978,General Mental Ability & CSAT,Mathematical & Symbol Operations,A sudden rise in the barometric height indicates:
Q001979,General Mental Ability & CSAT,Mathematical & Symbol Operations,"During very cold weather,……. of water helps in preserving the aquatic life."
Q001980,General Mental Ability & CSAT,Mathematical & Symbol Operations,Which of the following is a greenhouse gas?
Q001981,General Mental Ability & CSAT,Seating Arrangement,"In a barber’s shop, two plane mirrors are placed:"
Q001982,General Mental Ability & CSAT,Coding-Decoding,Hearing frequency range
Q001983,General Mental Ability & CSAT,Mathematical & Symbol Operations,Number of neutral points
Q001984,General Mental Ability & CSAT,Coding-Decoding,Plane mirrors
Q001985,General Mental Ability & CSAT,Mathematical & Symbol Operations,Charging a conductor
Q001986,General Mental Ability & CSAT,Blood Relations,Water as a cooling agent
Q001987,General Mental Ability & CSAT,Mathematical & Symbol Operations,Decibel measurement
Q001988,General Mental Ability & CSAT,Blood Relations,Constant velocity in a circle
Q001989,General Mental Ability & CSAT,Mathematical & Symbol Operations,Audiometer measurement
Q001990,General Mental Ability & CSAT,Mathematical & Symbol Operations,Work done in Newton-meter
Q001991,General Mental Ability & CSAT,Blood Relations,Correcting shortsightedness
Q001992,General Mental Ability & CSAT,Mathematical & Symbol Operations,Light-year definition
Q001993,General Science,Physics,Electrical Energy Conversion
Q001994,General Science,Chemistry,Petroleum Products
Q001995,General Science,Physics,Steam Engine Operation
Q001996,General Science,Physics,Thermodynamics - Cooling Effect
Q001997,General Science,Physics,Light Emission in Tube Lights
Q001998,General Science,Physics,Fan Speed - Motor Operation
Q001999,General Science,Electronics,Telephone Transmission
Q002000,General Mental Ability & CSAT,Coding-Decoding,Electrical Circuit Logic
Q002001,General Science,Physics,Clock Mechanism
Q002002,General Science,Material Science,Glass Properties
Q002003,General Science,Physics,High Voltage Transmission
Q002004,General Science,Astronomy,Satellite Applications
Q002005,General Science,Chemistry,Fibers
Q002006,General Science,Physics,Electrode Potential
Q002007,General Science,Chemistry,Steam Methane Reforming
Q002008,General Science,Chemistry,Acidity of Vinegar
Q002009,General Science,Chemistry,Hydrogenation Catalyst
Q002010,General Mental Ability & CSAT,Coding-Decoding,Electrophile
Q002011,General Mental Ability & CSAT,Chemical Reactions,Conductivity of Electrolyte
Q002012,General Mental Ability & CSAT,Chemical Reactions,Ideal Solution
Q002013,General Science,Chemistry,Storage of Hydrogen
Q002014,General Science,Physics,Heat Transfer - Comparison of Burns
Q002015,General Science,Chemistry,Corundum and Cryolite
Q002016,History of India,Science & Technology,John Dalton's Atomic Model
Q002017,General Science,Physics,Liquefaction of gases
Q002018,General Science,Physics,Soda acid fire extinguisher
Q002019,General Mental Ability & CSAT,Mathematical & Symbol Operations,Arithmetic symbol-substitution puzzles
Q002020,General Mental Ability & CSAT,Mathematical & Symbol Operations,Arithmetic symbol-substitution puzzles
Q002021,General Mental Ability & CSAT,Mathematical & Symbol Operations,Arithmetic symbol-substitution puzzles
Q002022,General Mental Ability & CSAT,Mathematical & Symbol Operations,Arithmetic symbol-substitution puzzles
Q002023,General Mental Ability & CSAT,Age Problems,Relative-age word-problems
Q002024,General Science,Physics,Diamond seed
Q002025,General Science,Physics,Fiber used to make bullet-proof jackets
Q002026,General Mental Ability & CSAT,Classification & Odd One Out,Full form of HMX
Q002027,General Science,Chemistry,Solute concentration
Q002028,General Science,Chemistry,Classification of medications
Q002029,General Mental Ability & CSAT,Mathematical & Symbol Operations,Rate of Reaction
Q002030,General Mental Ability & CSAT,Blood Relations,Family-relation 'story' puzzle
Q002031,General Mental Ability & CSAT,Mathematical & Symbol Operations,Arithmetic symbol-substitution puzzle
Q002032,Indian Economy,Development,Specific scheme/index (not named in question) - Greenhouse Effect
Q002033,General Mental Ability & CSAT,Mathematical & Symbol Operations,Acid reacts with metal carbonates to liberate gas
Q002034,General Mental Ability & CSAT,Age Problems,Relative-age word-problem - Acid vs. Base
Q002035,General Mental Ability & CSAT,Chemical Reactions,Odour of acetic acid
Q002036,General Mental Ability & CSAT,Chemical Reactions,Dry HCl gas and litmus paper
Q002037,General Mental Ability & CSAT,Classification & Odd One Out,Not specified in question - requires analysis
Q002038,General Mental Ability & CSAT,Chemical Reactions,Diamond and graphite properties
Q002039,Indian Economy,Development,Law of Gases - Equal volumes of gases
Q002040,General Mental Ability & CSAT,Mathematical & Symbol Operations,Nucleus of an atom consists of
Q002041,General Science,Chemistry,Metallurgical Processes
Q002042,General Science,Chemistry,Brass Composition
Q002043,General Science,Chemistry,Quicklime (Calcium Oxide) Production
Q002044,General Science,Chemistry,Weight Loss During Rusting
Q002045,General Science,Chemistry,White Metal (Solder) Composition
Q002046,General Science,Chemistry,"Noble Metals (Gold, Silver, Platinum) Characteristics"
Q002047,General Science,Energy,"Biogas Composition (Methane, Carbon Dioxide, Hydrogen Sulfide)"
Q002048,General Science,Chemistry,Colour of Cracker Combustion (Iron Oxide - Rust) Production
Q002049,General Science,Chemistry,"Incorrect Option (e.g., Sodium Chloride) - Requires Context"
Q002050,General Science,Chemistry,"Incorrect Statement (e.g., Relating to Chemical Properties) - Requires Context"
Q002051,General Science,Chemistry,True Statement about Graphite and Diamond (Structure and Properties) - Requires Context
Q002052,General Science,Chemistry,"Comparison of Graphite and Diamond (Hardness, Conductivity) - Requires Context"
Q002053,General Mental Ability & CSAT,Coding-Decoding,Mass number of a nucleus
Q002054,Geography,Soils,Main ingredient of cement
Q002055,General Mental Ability & CSAT,Blood Relations,Isotopes of an element differ in
Q002056,General Mental Ability & CSAT,Age Problems,"Temperature point at which solid, liquid and gaseous states may stay together"
Q002057,General Mental Ability & CSAT,Mathematical & Symbol Operations,Most important ore of aluminum
Q002058,General Mental Ability & CSAT,Basic Numeracy,pH value more than 7
Q002059,General Mental Ability & CSAT,Mathematical & Symbol Operations,H ion concentration will
Q002060,General Mental Ability & CSAT,Mathematical & Symbol Operations,Number of neutrons in the nucleus of plutonium nuclide (Pu^242)
Q002061,General Mental Ability & CSAT,Chemical Reactions,Limewater is turned milky by
Q002062,General Mental Ability & CSAT,Chemical Reactions,Incomplete burning of petrol and diesel produces
Q002063,General Mental Ability & CSAT,Basic Numeracy,pH of a solution changes from 3 to 6. The H ion concentration will
Q002064,General Mental Ability & CSAT,Mathematical & Symbol Operations,A mixture of sand and naphthalene can be separated by
Q002065,General Science,Chemistry,Sigma and Pi Bonds in Benzene
Q002066,General Science,Chemistry,Elements Present in Urea
Q002067,General Science,Minerals,Sapphire (Ruby) Chemical Formula
Q002068,General Science,Economics,Petrol Quality Measurement
Q002069,General Science,Chemistry,Components of Petrol
Q002070,General Mental Ability & CSAT,Coding-Decoding,Highest Melting Point
Q002071,General Science,Biology,Antibiotic Medicine Example
Q002072,General Science,Chemistry,Major Component of CNG
Q002073,General Science,Chemistry,Components of Acid Rain
Q002074,General Science,Chemistry,Chemical Formula of Heavy Water
Q002075,Current Affairs,Chemistry,pH Value of Water
Q002076,Current Affairs,Science & Technology,Nobel Prize in Chemistry 2019 - Development of
Q002077,General Science,Chemistry,Fungicides
Q002078,General Science,Chemistry,Chlorophyll Components
Q002079,General Science,Chemistry,Robert Boyle
Q002080,General Science,Chemistry,Mass Number Calculation
Q002081,General Science,Chemistry,Nitrous Oxide
Q002082,General Science,Chemistry,Elements vs Compounds
Q002083,General Science,Chemistry,pH Scale
Q002084,General Science,Environment & Ecology,Greenhouse Gases
Q002085,General Science,Biology,Oxygen Deficiency
Q002086,General Science,Chemistry,Natural Rubber Polymerization
Q002087,General Science,Chemistry,Glucose Formula
Q002088,General Science,Chemistry,CO Bond Order
Q002089,General Science,Chemistry,Physical Change
Q002090,General Science,Minerals,Non-Ferrous Metals
Q002091,General Science,Chemistry,Glass Composition
Q002092,General Science,Physics,Electrical Conductivity
Q002093,General Science,Chemistry,Most Conductive Metal
Q002094,General Science,Atmosphere,Nitrogen
Q002095,General Science,Chemistry,Conversion of Alcohol
Q002096,General Science,Physics,Nuclear Fission
Q002097,General Science,Safety,Fire Extinguishers
Q002098,General Science,Chemistry,Fullerene Atoms
Q002099,General Science,Chemistry,Boiling Point at High Altitude
Q002100,General Science,Chemistry,pH Value 7
Q002101,General Science,Chemistry,Quartz crystals
Q002102,General Science,Chemistry,Bromine
Q002103,General Science,Physics,Gases used in welding
Q002104,General Science,Materials Science,Galvanized iron pipes
Q002105,General Science,Chemistry,Detergents
Q002106,General Science,Biology,Sweat composition
Q002107,General Science,Chemistry,Blue vitriol
Q002108,General Science,Physics,Atomic nucleus
Q002109,General Science,Physics,Sublimation
Q002110,General Science,Chemistry,Heavy metals
Q002111,General Science,Materials Science,Stainless steel
Q002112,General Science,Materials Science,Plaster of Paris
Q002113,General Science,Chemistry,Hydrocarbons
Q002114,General Science,Chemistry,Vinegar
Q002115,General Science,Chemistry,Car Batteries
Q002116,General Science,Chemistry,Carbon Dioxide
Q002117,General Science,Chemistry,Hydrogen
Q002118,General Science,Physics,Cosmic Rays
Q002119,General Science,Chemistry,Carbon
Q002120,General Science,Chemistry,Acetylene
Q002121,General Science,Chemistry,Butane
Q002122,General Science,Earth Science,Minerals
Q002123,General Science,Chemistry,Sodium Chloride
Q002124,General Science,Chemistry,Sodium Chloride
Q002125,General Science,Chemistry,Brass Composition
Q002126,General Science,Chemistry,Myoglobin Composition
Q002127,General Science,Chemistry,Hydrogen Combustion Products
Q002128,General Science,Chemistry,Gold Solubility
Q002129,General Science,Biology,Fermentation Products
Q002130,General Science,Biology,Chemical Change Characteristics
Q002131,General Science,Chemistry,Indicators of Chemical Change
Q002132,General Science,Chemistry,Carbon Monoxide Toxicity
Q002133,General Science,Biology,Yeast Fermentation
Q002134,General Science,Chemistry,Adsorption Separation Technique
Q002135,General Science,Physics,X-ray Radiation
Q002136,General Science,Chemistry,Colloid Particle Size Range
Q002137,General Science,Chemistry,Amorphous Carbon
Q002138,General Science,Chemistry,Artificial Sweeteners
Q002139,General Science,Physics,Radioactive Elements
Q002140,General Science,Physics,Condensation
Q002141,General Science,Physics,Nuclear Fission
Q002142,General Science,Physics,Impact of Particles
Q002143,General Science,Materials Science,Pure Iron
Q002144,General Science,Chemistry,Albert Einstein
Q002145,General Science,Physics,Generation of Electrical Energy
Q002146,General Science,Chemistry,Acid Formation
Q002147,General Science,Materials Science,Zinc Alloy
Q002148,General Science,Chemistry,Uranium Fuel
Q002149,General Science,Biology,Cell Organelles
Q002150,General Science,Chemistry,Chemical Compounds
Q002151,General Science,Physics,Optics
Q002152,General Science,Biology,Plant Physiology
Q002153,General Science,Chemistry,Chemical Reactions
Q002154,General Science,Physics,Time and Work
Q002155,General Science,Biology,Photosynthesis
Q002156,General Science,Biology,Pharmaceuticals
Q002157,General Science,Agriculture,Turmeric Plant
Q002158,General Science,Biology,Vectors
Q002159,General Science,Biology,Blood Groups
Q002160,General Science,Biology,Immunity
Q002161,General Science,Biology,Vitamins
Q002162,General Science,Biology,Chlorophyll
Q002163,General Science,Biology,Hydrochloric Acid
Q002164,General Science,Biology,Plasma
Q002165,General Science,Biology,Bacillary Fever
Q002166,General Science,Biology,Cell
Q002167,General Science,Biology,Cell
Q002168,General Science,Agriculture,Fertilizers
Q002169,General Science,Biology,Spores
Q002170,General Science,Biology,Fungi
Q002171,General Science,Biology,Immune Response
Q002172,General Science,Biology,Vaccines
Q002173,General Science,Biology,DNA double helix structure
Q002174,General Science,Biology,vector vaccines
Q002175,General Science,Science & Technology,mRNA
Q002176,General Mental Ability & CSAT,Blood Relations,"X said to Y, Z is the mother of my son's wife's daughter, how is X related to Z"
Q002177,General Mental Ability & CSAT,Coding-Decoding,Match List-I with List-II
Q002178,Indian Economy,Agriculture,Linen
Q002179,General Science,Biology,parts of the skeleton that are not as hard as bones
