Question ID,Subject,Topic,Subtopic,Question
Q001233,Indian Polity,Parliamentary Procedure,Match List – I with List – II,Match List – I with List – II and select the correct answer with the help of the codes given below the lists – • Gram Panchayat: Article – 40 • Uniform Civil Code : Article – 44 • Agriculture and Animal Husbandry: Article – 48 • Separation of Judiciary and Executive: Article – 50 • International peace and security: Article – 51
Q001234,Indian Polity,Form of Government,Parliamentary form of Government,Which one of the following statements is correct regarding parliamentary form of Government?
Q001236,Geography,Land Records,Land Records Officer,Who amongst the following is the Land Records Officer?
Q001239,Indian Polity,Constitutional Remedies,Postmortem,Which one of the following constitutional remedies is also called 'postmortem'?
Q001240,Indian Polity,Order of Precedence,Indian Order of Precedence,Which one of the following Indian states has the largest number of members in its state legislature?
Q001241,Indian Polity,National Human Rights Commission,Number of Members,"In the Indian Order of Precedence, who amongst the following comes first?"
Q001242,Indian Polity,Constitutional Amendments,103rd Constitutional Amendment,The 103<sup>rd</sup> Constitutional Amendment is related to
Q001243,Indian Polity,Human Rights Protection,Increase in Members,By how much has the number of members in the National Human Rights Commission been increased by the Human Rights Protection (Amendment) Act 2019?
Q001244,Indian Polity,Lokpal,Lokpal of India,The name of the first Lokpal of India is
Q001245,Indian Polity,Triple Talaq Bill,Maximum Jail Sentence,"The recently passed Triple Talaq Bill, 2019 provides for what maximum period of jail sentence?"
Q001246,Indian Polity,Constitutional Amendments,"Triple Talaq Bill, 2019",The provisions of Article 35-A and Article 370 were included in the Indian Constitution in-
Q001248,Indian Polity,Constitutional Provisions,Article 35-A and Article 370,The basis of judicial review in India is
Q001254,Indian Polity,Legislature,Special Election,The special election held to fill the vacancy in the legislature is called -
Q001258,Indian Polity,Supreme Court,Resignation of a Judge,A Judge of the Supreme Court may resign his office by writing to–
Q001259,Indian Polity,Supreme Court,Letter to the Chief Justice,Who was the first Chairman of the Backward Classes Commission?
Q001260,Indian Polity,Backward Classes Commission,First Chairman,The Chairman of the State Public Service Commission is appointed by–
Q001264,Indian Polity,President,Role of the President,The President
Q001267,Indian Polity,Finance Commission,Formation of Finance Commission,Under which one of the following articles is the formation of Finance Commission laid down?
Q001270,History of India,Reorganization of States,1956,Which one of the following committees/ commissions had recommended the creation of Nyaya Panchayats?
Q001283,Indian Polity,Directive Principles,Directive Principles of State Policy,Which of the following is/are listed among the Directive Principles given in Part IV of the Indian Constitution? (I) Equal pay for equal work (II) Uniform Civil Code (III) Small family norm (IV) Education through mother tongue at primar level
Q001284,Indian Polity,Parliament,Vote on Account,Vote on Account is meant for-
Q001287,Indian Polity,Supreme Court,Fundamental Rights – Flag Hoisting,The Supreme Court has held that hoisting the National Flag atop the private building is a fundamental right of every citizen under:
Q001289,Indian Polity,Panchayati Raj,Panchayat Samiti – Block Level,The Panchayat Samiti formed at the block level in India is only a/an–
Q001291,Indian Polity,List of the Constitution,"Match the Lists – Union, State, Concurrent",Match the following– (I) Union list (a) 97 entries (II) State list (b) 47 entries (III) Concurrent list (c) 66 entries Codes : I II III
Q001292,Indian Polity,Constitutional Amendment,Majority Required,Creation of a new state requires a________majority for Constitutional Amendment.
Q001293,Indian Polity,Executive,Powers of the President,President of India exercises his powers–
Q001294,Indian Polity,Constitutional Commission,Decentralization System – Recommended by,The Decentralization System was recommended by–
Q001295,Indian Polity,Human Rights,Human Rights – Also a Fundamental Right,Which one of the following human rights is also a fundamental right under the Indian Constitution?
Q001296,Indian Polity,Education,Right to Education – Added by Amendment,When was the right to education added by amending the Indian Constitution?
Q001307,Indian Polity,Panchayati Raj,Constitutional Head,"Name the committee established by the NDC in 1957 for the reorganization of CDP and NES, which suggested a three-tier system of rural local government."
Q001311,Society,Civil Servants,Resignation Letter,A High Court Judge addresses his resignation letter to-
Q001312,Indian Polity,Parliament,Participation of Non-Members,A person may take part in the proceedings of either House of Parliament as a non-member -
Q001316,Indian Polity,Parliament,Presiding Officer – Non-Member,In which House the presiding officer is not a member of that House?
Q001325,Current Affairs,Pala Dynasty,Establishment of Panchayati Raj,State-wise allocation of seats in the Lok Sabha is based on the 1971 census. Till how many years will this determination remain the same?
Q001328,Indian Polity,Panchayati Raj,Decision Making,By whom is the decision taken for holding Panchayat elections?
Q001335,Indian Polity,Emergency Provisions,Period for which declaration of emergency can be limited,"Firstly, for what period can the declaration of emergency be limited?"
Q001336,Indian Polity,Union Territories,Appointment of Chief Minister of a Union Territory,"By whom is the Chief Minister of a Union Territory where such a provision exists, appointed?"
Q001337,Indian Polity,Parliament,Control of expenditure of the Parliament,Who controls the expenditure of the Parliament of India?
Q001338,Indian Polity,Constitutional Remedies,Origin of Public Interest Litigation,The concept of Public Interest Litigation originated from which country?
Q001339,Indian Polity,Writs,Applicability of writs against illegal detention,Which of the following writs are applicable against illegal detention of a person?
Q001340,Indian Polity,Constitutional Provisions,Amendment of constitutional provisions,In which of the following is the provision for amendment of the constitutional provision made?
Q001341,Indian Polity,Supreme Commander,Supreme Commander of the Indian Defense Force,The Supreme Commander of the Indian Defense Force is
Q001342,Indian Polity,Executive Head,Executive head of the state government,Who is the executive head of the state government?
Q001343,Indian Polity,Panchayati Raj Institutions,Subjects under Eleventh Schedule,"Through the Eleventh Schedule, Panchayati Raj institutions have been given the right to control how many subiects?"
Q001344,Indian Polity,Constitutional Provisions,Provision for amendment of constitutional provisions,Which of the following is called the 'Soul' of the Indian Constitution?
Q001345,Indian Polity,Fundamental Rights,Removal of Right to Property,"During whose reign, Right to Property was removed from the list of fundamental rights?"
Q001347,Geography,States,Jharkhand,Which of the following is the 28th state of the Indian Union?
Q001349,Indian Polity,Constitutional Amendments,Socialist and Secular,By which amendment have the words 'Socialist and Secular' been added to the Preamble of the Indian Constitution?
Q001351,History of India,Federalism,United States of America,From where did India take the idea of 'Federal System' with a strong centre?
Q001352,Indian Polity,Panchayati Raj,17th Amendment,In which amendment of the Indian Constitution has Panchayati Raj institutions been provided constitutional backing?
Q001353,Indian Polity,Preamble,Socialist and Secular,Which one of the following was not originally included in the Preamble of the Constitution of India?
Q001364,Geography,Mountain Ranges,Garo Hills,Which is the oil refinery having maximum capacity in India?
Q001365,Indian Economy,Industries,Oil Refineries,Which State has the longest boundary with Madhya Pradesh ?
Q001366,Geography,States,Boundary with Madhya Pradesh,Which of the following ports is an artificial port?
Q001367,Geography,Ports,Artificial Ports,Following are the mountain ranges of India 1. Garo Hills 2. Nandadevi 3. Kamet 4. K<sup>2</sup> Which of the following is their correct sequence from east to west ?
Q001368,Geography,Mountain Ranges,Sequence of Mountain Ranges,"Garo Hills – Located in Meghalaya, which is in the far northeast of India. 2. Nanda Devi – In Uttarakhand 3. Kamet – In Uttarakhand but a little east of Nanda Devi 4. K2 – In Ladakh in the northwest of India. 15. Match List - I with List - II: List-1 List-II Select the correct answer using the codes given below. The correct matching is as follows- List – I List - II 16. Which of the following is a cause of rural to urban migration in India?"
Q001372,Geography,Districts,Scheduled Tribe Population - 2011 Census,Which of the following districts of Bihar has the highest percentage of Scheduled Tribe population in 2011 census?
Q001380,Geography,Plateaus,Tropic of Cancer & Indian Standard Time Line Intersection,"On which plateau, the Tropic of Cancer and the Indian Standard Time Line intersect each other?"
Q001388,Indian Economy,Agriculture,Sugar Industry,Which of the following statements is true about the sugar industry in India?
Q001401,Geography,Landforms,Ganga Plain,Ganga plain has been described as a–
Q001404,General Science,Earth Science,Chiria Feature,What is the most famous feature of Chiria located in West Singhbhum?
Q001407,Indian Economy,Agriculture,Coffee,Which one of the following coffee growing areas is not in Karnataka?
Q001408,Geography,Districts,Madhya Pradesh,Which one of the following districts of India is the largest in terms of geographical area?
Q001409,Geography,Wildlife Sanctuaries,Odisha,Which state of India has the maximum number of wildlife sanctuaries?
Q001410,Indian Economy,Minerals,Bauxite,"Among the following pairs of mineral and district, which one is correctly matched?"
Q001411,Geography,Mining,Khetri Mines,‘Khetri Mines’ situated in Rajasthan is famous for?
Q001412,Indian Polity,External Affairs,Free Movement Regime,With which country does India have ‘Free Movement Regime'?
Q001415,Geography,Regions,Bastar Region,Bharmour Tribal region is located in–
Q001416,Geography,Regions,Bharmour,Jawaharlal Nehru Port is located in the State of–
Q001421,Indian Economy,Agriculture,Cattle Breeds,The hills situated closer to Kanyakumari are
Q001423,Indian Economy,Minerals,Tea Plantations,Which one of the following hills does not have tea plantations ?
Q001427,Society,Tribes,Tribe-State Matching,Which one of the following pairs of tribe and state is not matched?
Q001428,Indian Economy,Industrial Corridors,Japan Collaboration,Which of the following industrial/economic corridors of India is being developed in collaboration with Japan?
Q001437,Geography,Passes,Rohtang Pass,"The pass, which is situated at the highest elvation, is:"
Q001439,Indian Economy,Agriculture,Sugarcane,Which one of the following states of India is called 'Sugar Bowl'?
Q001443,Indian Economy,Agriculture,Cotton Production,The average yield of cotton is highest in India for the State of:
Q001448,Indian Economy,Industry,Cotton Mills (Tamil Nadu),The largest number of Cotton Mills in Tamilnadu are found in:
Q001449,Indian Economy,Agriculture,Rubber Production,Which one of the following states is the leading producer of rubber in India?
Q001452,Indian Economy,Industry,Khetri Belt (Rajasthan) - Copper,The percentage of decadal growth population during 2001-2011 as per Census 2011 is:
Q001455,History of Bihar,Bihar Polity & Governance,Census 2011,"According to the 2011 census, what position does Bihar state rank in the country in terms of population?"
Q001453,Bihar Polity & Governance,Bihar Statistics,Census 2011 Sex Ratio,"As per Census 2011, which state has the lowest sex-ratio?"
Q001470,Indian Economy,Human Development,infant mortality rate,What is the infant mortality rate refer to?
Q001472,Geography,States,iron ore endowment,"The two States of India, most richly endowed with iron ore, are :"
Q001473,Geography,Cities,not situated on the banks of river Ganga,Which one of the following cities is not situated on the banks of river Ganga?
Q001475,Geography,States,order of area largest states of India,"In order of area, the largest states of India are -"
Q001481,Geography,Indian States,Bhil Caste Distribution,Where is Bhil caste found?
Q001482,Geography,Indian States,Scheduled Caste Population - India,"According to Census 2001, the population density (per square kilometer) of India is."
Q001485,Geography,Indian States,Largest States of India - Area Order,"In order of area, the three largest states of India are-"
Q001486,Geography,Indian States,Ranchi City - Location,Ranchi city is situated in –
Q001487,Indian Economy,Agriculture,Irrigation Potential - Percentage (2001 Census) - Kosi River,74.78 percent of India's irrigation potential is fulfilled by-
Q001490,Geography,Geography,Solar eclipse,Solar eclipse occurs when-
Q001491,Geography,Geography,shortest day,When is the shortest day occur?
Q001492,Geography,Geography,Indian Ocean earthquake of 2004 and the resulting tsunami,Which of the following statements is not correct regarding the Indian Ocean earthquake of 2004 and the resulting tsunami?
Q001493,Geography,Geography,ridge,"A ridge 64,000 km long and 2,000 km to 2,400 km wide passes between the North and South Atlantic Ocean troughs and enters the Indian Ocean basin and then enters the South Pacific Ocean basin between Australia and Antarctica. This is ridge-"
Q001499,Bihar Polity & Governance,Bihar Economy,Literacy Rate,"According to the census report of 2001, which state had the lowest literacy rate?"
Q001496,Geography,Disasters,Flood,"Correlate List-I (Natural Disasters) with List-II (States) and select the correct answer using the codes given below the lists. List-I List-II (a) Flood 1. Himalayan foothills (b) Earthquake 2. Jharkhand and North Orissa (c) Drought 3. Plains of Uttar Pradesh and Bihar (d) Hurricane 4. Middle eastern india Code : 145. In the history of population growth in India, which year is called the 'Year of Great Division'?"
Q001503,Geography,Mountain Ranges,Aravalli Range,Which of the following mountain ranges divides Ganga plain and Deccan plateau?
Q001506,Indian Economy,Agriculture,Rice,In 2020. which of the following crops had the highest acreage in India?
Q001507,Indian Economy,Agriculture,Wheat,Which of the following states has the largest deposits of copper ore?
Q001508,Geography,Plains,Ganga Plain,The parts of eastern Uttar Pradesh and Bihar are included in which of the following plains?
Q001514,History of Bihar,Manipur,Non-scheduled people,Non-scheduled people concentrated in the Central Valley of Manipur is called:
Q001519,Geography,Natural Disasters,El Nino,At the eastern end of the Great Himalaya i.e. Himadri is -
Q001521,Geography,Ecology,Sundarban region,Kaiga -
Q001524,Indian Economy,Agriculture,net sown land under irrigated land,"Cement industry is developed in Chhattisgarh, due to avaibility of:"
Q001528,Geography,Mountains,Taurus Mountains,Which is the mountain range along the Mediterranean Coast of Asia Minor?
Q001531,Geography,Moon,Atmosphere,Which of the following is not associated with Australia Continent?
Q001532,Geography,Australia,Great Barrier Reef,Choose the odd pair among the following options.
Q001533,General Mental Ability & CSAT,Odd One Out,Shapes,Dalmatian Coast is
Q001534,Geography,Coastline,Dalmatian Coast,Which of the following is a technopolis ?
Q001535,Geography,Cities,Silicon Valley,Which type of rock is formed from cooling and solidification of lava ?
Q001540,Geography,Locations and Boundaries,Andes,The Andes extends along which of the following?
Q001541,Geography,Environmental Issues,Air pollution,Which of the following is a major cause of air pollution?
Q001544,Geography,Time Zones,"Thimphu, Bhutan",What is the local time of Thimphu (Bhutan) located at 90° East longitude when the time at Greenwhich (0°) is 12 : 00 noon
Q001547,Geography,Lakes,Lake Victoria,"Consider the following statements: 1. Lake Victoria is the third largest freshwater lake in the world by surface area. 2. It is one of the great lakes of Africa 3. It is bordered by four countries – Tanzania, Uganda, Rwanda and Kenya. 4. The only outflow from Lake Victoria is the Nile River, which exits the lake near Jinja, Uganda. Which of the statements given above are incorrect?"
Q001548,Geography,Environmental Issues,Heat wave,Consider the following statements regarding ‘heat wave’ : 1. Heat wave is considered if the maximum temperature of a station reaches at least 30 °C or more for plains. 2. Heat wave is considered if the maximum temperature of a station reaches at least 40 °C or more for hilly regions. Which of the statements given above is/are correct?
Q001567,Geography,Geodesy,Science that deals with,Geodesy is the science that deals with –
Q001568,Geography,Earth Science,Continental drift theory,The theory of continental drift was development by :
Q001574,Geography,Countries,Greenland,Greenland is a part of which one of the following countries?
Q001576,Geography,Continents,Number of Countries,"Among the following continents, which one has the highest number of countries?"
Q001577,Geography,Niagara Falls,Canada and USA,'Niagara Falls' in North America is located between :
Q001578,Geography,Countries,Mismatched Pair (Germany and Coal Fields) - No specific country listed,One of the following pairs is mismatched. Find it:
Q001579,Indian Economy,Minerals,Coal,Which one of the following is not a coal field of Germany?
Q001580,Geography,Cities,St. Petersburg,Name the city of Russia that is known as ‘Venice of North'
Q001581,Geography,Mountain Ranges,Pyrenees,Pyrenees Mountain ranges in Europe separate the countries :
Q001582,Geography,Oceans,Pacific Ocean,Addu Atoll are situated in which ocean?
Q001583,Geography,Countries,Russia,Which of the following countries is the largest country without borders in terms of geographical area?
Q001584,Geography,Countries,Canada,The country which has the longest north-south (latitudinal) extension of its territory is :
Q001593,Geography,Deserts,Arunachal Pradesh,The driest desert in the world is
Q001594,Indian Economy,Industry,Landlocked countries,Which one of the following is a landlocked country?
Q001595,Geography,Biomes,Mediterranean climate,Which one of the following is the largest island in area?
Q001601,Indian Economy,Industries,Rust Bowl of USA,The 'Rust Bowl' of United States of America is related to which one of the following region?
Q001603,Indian Economy,Agriculture,Largest oil reserves,Which country has the largest deposits of oil reserves?
Q001604,Geography,Biomes,Mid-latitude grassland in South America,What is the name of the mid-latitude grassland in South America?
Q001605,Geography,Landforms,Great Victorian Desert,Where is the Great Victorian Desert located?
Q001615,Geography,Cities,Nukushima,Which of the following cities is not the capital of any country?
Q001616,Indian Economy,Minerals,Coal Production,The country that produces the most coal in the world is-
Q001624,Indian Economy,Minerals,Cold Deposits,Which of the following countries has the largest reserve of Cold deposits?
Q001628,General Science,Geomorphology,Mushroom Rock Formation,Which of the following is a characteristic of a volcanic eruption?
Q001632,Art & Culture,French Culture,Wine Producing Provinces,Cold water current flowing along Namibian Coast in Known as :
Q001634,Geography,Biomes,Grasslands of Brazilian Plateau,Grasslands of Brazillian Plateau are known as:
Q001635,Geography,River Deltas,Mississippi Delta,Mississippi Delta is an example of-
Q001636,Geography,Ocean Currents,Banguela Current,Banguela Current is –
Q001637,Geography,None,Which of these is not visible?,Which of these is not visible?
Q001639,Society,Tribal and Peasant Movements,Negrito race,Which of the following tribal communities belongs to the Negrito race?
Q001640,Indian Economy,Agriculture,Coffee production,More than half of the coffee produced in the world is from-
Q001641,Indian Economy,Industrial Development,Factors responsible for industrial development in Japan,Which of the following factors is not responsible for industrial development in Japan?
Q001646,Indian Economy,Five Year Plans,None,"First Five Year Plan (1951-56) Objectives–Agricultural development, irrigation electricity 2. Second Five Year Plan (1956-61) Objective–Industrial development (Mahalanobis Model) 3. Third Five Year Plan (1961-66) Objective–Agriculture and basic industries 4. Fourth Five Year Plan (1969-74) Objective–Justice with growth 5. Fifth Five Year Plan (1974–79) Main Slogan” ‘Garibi Hatao’ (during Indira Gandhi’s time) 5. Which of the following is a function of Central Bank?"
Q001647,Indian Economy,Central Bank,None,"Managing the Repo rate ⚫ It is a major instrument of monetary policy ⚫ RBI gives short term loan to commercial bank. 2. Giving loans to Commercial Banks ⚫ RBI is the lender of last resort. 3. Providing banking facilities to the government. ⚫ RBI is the banker to the Government of India. ⚫ Operates the government's finances, issues government bonds and manages the debt. 6. The primary function of the Finance Commission in India is to"
Q001648,Current Affairs,Finance Commission,None,"To make recommendations to the President regarding the distribution of net proceeds of taxes between the Union and the States and the allocation of such proceeds among the States. 2. To take decisions regarding grants/assistance to the States from the Consolidated Fund under Article 275. 3. To recommend measures necessary for augmenting the Consolidated Fund of the State to supply resources to the Panchayats and Municipalities on the basis of the recommendations made by the State Finance Commission. 4. Any other specific direction given by the President, which is in the interest of the sound finances of the country. 5. The Commission submits its report to the President, which the President gets laid before both the Houses of Parliament. The recommendations given by the Finance Commission are of advisory nature The 16th Finance Commission of India has been constituted for a period of five years starting from the financial year (2026-27). It will submit its recommendations by October 31, 2025. Arvind Panagariya has been appointed as the Chairman of the 16th Finance Commission. 7. Which Sector in India has benefitted the most from Globalization?"
Q001649,Indian Economy,National Income,None,NNP at factor cost is equal to
Q001651,Indian Economy,Small Finance Banks,RBI Eligibility Criteria,"According to the Reserve Bank of India, what is one of the eligibility criteria for a Small Finance Bank (SFB) to transition into a Universal Bank?"
Q001652,Current Affairs,Union Budget 2024-25,Budget Priorities,Which one is not included in the Budget Priorities in pursuit of ‘Vikasit Bharat’ in Union Budget 2024-25?
Q001653,Indian Economy,Agriculture,Productivity and Resilience,"Productivity and Resilience in Agriculture, 2. Employment and Skill Training, 3. Inclusive Human Resource Development and Socia Justice, 4. Manufacturing and Services 5. Urban Development, 6. Energy Security, 7. Infrastructure, 8. Innovation, Research and Development 9. Next Generation Reforms 12. What was the Per Capita Net State Domestid Product at Current Prices for Bihar for the fiscal year 2022-23, base on the base year 2011-12?"
Q001654,Indian Economy,Indian Capitalists,Bombay Plan Architects,Who among the following Indian capitalist was not the architect of “Bombay Plan”?
Q001655,Indian Economy,Insolvency and Bankruptcy,Definitions,"Consider the following statements regarding insolvency and bankruptcy : 1. Bankruptcy refers to a financial state in which an individual or entity is unable to pay off their debts as they become due. 2. Insolvency refers to a legal process, where the assets of the debtor are liquidated or reorganized for the benefit of creditors. 3. Bankruptcy is a state whereas insolvency is the conclusion. 4. The Insolvecny and Bankruptcy Board of India (IBBI) is the regulatory body responsible for overseeing insolvency and bankruptcy proceedings. Which of the statements given above is/are correct?"
Q001656,Indian Economy,Industrial Policy Resolution,Year of Adoption,In which year was the Industrial Policy Resolution adopted?
Q001663,Bihar Economy,Non-Plan Expenditures,Central Government Expenditures,Consider the following statements about the latest developments in the Union Government finances : 1. The fiscal deficit of the Union Government had reached 9.2 percent of GDP during the pandemic FY21. 2. The fiscal deficit has moderated to 7.7 per cent of GDP in FY22. 3. The revenue collection over the last two years has gone down. Which of the statements given above is/are correct?
Q001665,Indian Economy,Trade Policy,Rules of Origin,Consider the following statements about Rules of Origin’ : 1. Rules of origin are criteria needed to determine the national source of a product. 2. Rules of origin help custom agencies know what regulations and fees apply to a given product 3. These are used for the purpose of trade statistics. 4. Their importance is derived from the fact that duties and restrictions in several cases depend upon the sources of imports. Which of the above statements are correct?
Q001666,Bihar Economy,Demography,Infant Mortality Rate - Trends & Uttar Pradesh,"Rules of origin are the essential criteria for determining the national source of a product. 2. Rules of origin help customs agencies know what rules and what duties apply to a given product. 3. They are used for the purpose of trade statistics. 4. Their importance is evidenced by the fact that in many cases taxes and restrictions depend on the source of imports. 25. Consider the following statements about infant mortality rate : 1. It is the probability of dying between birth and exactly 1 year of age, expressed per 10000 live births. 2. The infant mortality rate in the year 1950 was 189.6. 3. In the year 2019, the infant mortality rate was 30. 4. As per the Sample registration System (SRS) Bulletin of Registrar General of India (RGI), the State with the highest infant mortality rate in the year 2019 was Uttar Pradesh Which of the statements given above are correct?"
Q001667,Indian Economy,Human Capital Formation,Definition & Components,"Human capital formation as a concept is better explained in terms of a process which enables 1. Individuals of a country to accumulate more capital 2. Increasing the knowledge 3. Increasing the skill levels 4. Increasing the knowledge, skill levels and capacities of the people of the country Select the correct answer using the codes given below."
Q001668,Bihar Polity & Governance,Female Workforce Participation Rate,Bihar - 2020-2022,At what percentage has Bihar registered the lowest Female Workforce Participation Rate for the year 2020-2022?
Q001670,Bihar Economy,Development,Human Development Index,"According to the National Family Survey-5 released by the Union Ministry of Health and Family Welfare on November 24, 2021, there has been a significant improvement in the sex ratio of Bihar. It has increased from ______ in 2015-2016 to ______ in 2020-2022."
Q001671,Bihar Economy,GSDP,Rate of growth of State Domestic Product (GSDP) 2020-2021,"According to Bihar Economic Survey (2021-2022), what was the rate of growth of State Domestic Product (GSDP) of Bihar in 2020-2021?"
Q001672,Bihar Economy,"SEZ Act, 2005",Objectives,Which one of the following is correct for Bihar economy?
Q001673,Bihar Economy,Agricultural Marketing,Policy measures adopted by the Government of India,"Which of the following are the objectives of the SEZ Act, 2005? 1. Generation of additional economic activity 2. Promotion of export of goods and services 3. Creation of employment"
Q001674,Bihar Economy,"Competition Act, 2002",Committee suggested the enactment,What is the policy measure adopted by the Government of India to improve the system of agricultural marketing?
Q001675,Bihar Economy,Five Year Plans,Focused on Human Resource Development,"Which committee suggested the enactment of the Competition Act, 2002?"
Q001676,Bihar Economy,FDI,"State of India received highest FDI, equity flow during April to September, 2022",Match List-I with List-II: Answer – (B) 4 1 3 2 • Grey Revolution – Fertilizer • Pink Revolution – Onion production • Silver Revolution – Eggs Production • Red Revolution – Tomato and Meat Production 36. Which of the following five-year plans was focused on Human Resource Development?
Q001677,Bihar Economy,Budget,Liberalized Exchange Rate Management System,"Which of the following states of India received the highest Foreign Direct Investment (FDI), equity flow during April to September, 2022?"
Q001678,Bihar Economy,Budget,Finance Minister announced,In which budget did the Finance Minister announce the Liberalized Exchange Rate Management System?
Q001679,Bihar Economy,Five Year Plans,Goals,Which of the following were the goals of the Five Year Plan? 1. Growth 2. Modernization 3. Self-reliance 4. Literature
Q001680,Bihar Economy,Poverty Line,Organization carries out the survey,Which organization carries out the survey for determining the poverty line?
Q001683,Indian Economy,Microenterprise,Definition of microenterprise in India,Which of the following partly defines microenterprise in India?
Q001684,Indian Economy,Pradhan Mantri Krishi Sinchai Yojana,Incorrect statement about Pradhan Mantri Krishi Sinchai Yojana,Which of the following is incorrect regarding the Pradhan Mantri Krishi Sinchai Yojana?
Q001685,Bihar Polity & Governance,Bhandari Committee,Formation of Bihar and Orissa Province,Bhandari Committee is related to:
Q001688,Indian Economy,Social Issues,Objective of Community Development,What is the objective of community development?
Q001694,Indian Economy,Industry,Textile,Which one of the following pairs of industry and place is not correctly matched?
Q001698,Current Affairs,External Sector,Trade Partners,Which of the following infrastructure sectors of India is related with Bharatmala Project?
Q001699,Geography,Infrastructure,Bharatmala Project,Which of the following agencies releases the Index of Industrial Production to measure industrial performance in India?
Q001704,Indian Economy,Social Sector,Ayushmaan Sahakar Scheme,"In which Budget, the Commodity Transaction Tax (CTT) was introduced in the Budget of India?"
Q001710,Indian Economy,Bihar Economy,15th Finance Commission - Share,What is Bihar's share in the divisible pool of central taxes on the recommendation of the 15th Finance Commission?
Q001711,Indian Economy,Agriculture,Minimum Support Price,Who determines the minimum support price in India?
Q001714,Indian Economy,Agriculture,Meat and Meat Preparation Exports - 2017,Antyodaya Programme was started first of all in the State of :
Q001715,Indian Economy,Bihar Economy,Foreign Exchange Reserves - 2018-19,India's share in meat and meat preparation exports in the year 2017 was :
Q001717,General Mental Ability & CSAT,General Mental Ability & CSAT,Coding-Decoding,Which one of the following is not a source of direct finance?
Q001721,Current Affairs,Development,Pradhan Mantri Karma Yogi Maan-Dhan Yojana,What should be the sustained GDP growth rate for India to become a $5 trillion economy by 2024-25?
Q001730,Indian Economy,Population,Urban Population Percentage,"As per 2011 Census, the urban population percentage to total population of India was about"
Q001733,Indian Economy,Make in India,Industrial Development,The Government policy ‘Make in India’ aims at:
Q001734,Indian Economy,Industrial Development,Not an Initiative,Which one of the following is not an initiative for industrial development?
Q001735,Indian Economy,PURA,Providing Urban Facilities in Rural Areas,PURA (providing urban facilities in rural areas) model was advocated by:
Q001736,Indian Economy,Literacy Rate,Female Literacy Rate 2011,"As per Census 2011, the female literacy rate in India was"
Q001737,Indian Economy,Poverty Alleviation,Self-Service Groups,Who among the following gave the idea of selfservice groups as an effective tool for poverty alleviation?
Q001738,Indian Economy,Agricultural Productivity,Increase Productivity,Which one of the following is a pathway to increase productivity in agriculture?
Q001739,Indian Economy,MNREGA,Poverty Alleviation,Which one of the following is the objective of 'MNREGA'?
Q001740,Indian Economy,Union Budget,2017-18 Objectives,"Which one of the following was not included in the intended objectives of the Union Budget, 2017-18?"
Q001747,Bihar Economy,Economic Growth,Growth Rate 2016-17,What was the economic growth rate of the State of Bihar during the year 2016-17?
Q001764,Indian Economy,Taxation,State Finance,Which of the following Tax is ievied by Union and collected and appropriated by States?
Q001772,Indian Economy,Statistics,Consumer Price Indices,Interest payment is an item
Q001773,Indian Economy,Trade,Foreign exchange earnings,Consider the following consumer price indices I. Consumer Price Index for Industrial Workers II. Consumer Price Index for Agricultural labourers III. Consumer Price Index for Rural labourers IV. Consumer Price Index for Urban Non-manua Employees Which of the above indices is/are compiled by the Central Statistical Organization (CSO)
Q001774,Indian Economy,Trade,Exports,India earns maximum foreign exchange by the exports of:
Q001786,Indian Polity,Indian Economy,Consider the following statements- I. Bank rate is the interest rate that the Reserve Bank of India charges its clients on their shortterm borrowings. II. Repo rate is the interest rate that the Reserve Bank of India charges its clients on their longterm borrowings.,Consider the following statements- I. Bank rate is the interest rate that the Reserve Bank of India charges its clients on their shortterm borrowings. II. Repo rate is the interest rate that the Reserve Bank of India charges its clients on their longterm borrowings. Which of the above statements is/are incorrect?
Q001790,Indian Economy,Development Schemes,TRYSEM,Consider the following plans: I. EAS II. TRYSEM III. JRY IV. RLEGP The correct chronological sequence of the launching of these scheme is :
Q001791,Indian Economy,Commercial Sources of Energy,Oil/Energy Crisis,Commercial sources of energy include –
Q001792,Indian Economy,Financial Sickness of State Electricity Boards,Low Grade Coal & Transmission Losses,When did the first oil/energy crisis occur in India?
Q001793,Indian Economy,State Electricity Boards,Social Delivery Policies,Consider the following reasons for the financial sickness of State Electricity Boards in India - I. Sale of electricity to agricultural and domestic consumers at less than the cost of production II. Transmission and distribution losses are very high III. Reduction in commercial autonomy for State Electricity Boards IV. State governments have implemented social delivery policies through State Electricity Boards. Which of the above are correct?
Q001794,Indian Economy,Types of Economy,Mixed Economy,What type of economy is there in India?
Q001795,Indian Economy,Coal Industry,Dependence on Coking Coal Import,Consider the following problems of the Indian coal industry- I. Low grade coal and obstruction in coal operation II. Decrease in utilization capacity of transportation institutions. III. Increasing dependence on import of coking coal. IV. operating prices Which of the above are correct?
Q001796,Indian Economy,Planning Commission,Running Plan,"Consider the following regarding 'Running Plan' - I. A plan for the current year, which includes the annual budget II. A plan that is set for 3, 4, or 5 years III. It is revised every year according to the needs of the economy. IV. A relative plan for 10, 15 or 20 years Which of the above are correct?"
Q001797,Indian Economy,Planning Commission,Establishment Year,In which year was the Planning Commission established in India?
Q001798,Indian Economy,World Bank Report,Indian Economy Status,"According to the latest development report of the World Bank, the status of the Indian economy is"
